"category","X0","female","male"
"1",0,16.939329327389,10.732698015935
"2",0,15.0203226995252,9.6579191230111
"3",0,10.2808575553679,8.7533655118148
"4",0,10.0626049778592,8.58666011542079
"5",0,9.43145295356312,7.4370709382151
"6",0,8.58440382911681,7.47724286576465
"7",0,8.5394028417805,7.03668905905012
"8",0,8.49482655641695,6.73162613257656
"9",0,8.59582347495114,7.19993163269666
"10",0,7.93157352470956,7.01033929356573
"11",0,7.82301293508165,8.17575291876896
