SA4_col,24-29,30-34,35-39,40-44,45-49,50-55,55-59,60-65,65-69,70 and over
201,3.27868852459016,6.06060606060606,6.94444444444444,8.45070422535211,12.871287128712899,13.095238095238098,5.55555555555556,5.47945205479452,8.23529411764706,3.94736842105263
202,1.66666666666667,7.69230769230769,7.46268656716418,9.57446808510638,10.6796116504854,8.60215053763441,8.139534883720929,15.625,13.461538461538499,6.94444444444444
203,1.85185185185185,6.41025641025641,7.29166666666667,8.3969465648855,9.93377483443709,12.6760563380282,7.006369426751589,12.5,11.864406779661001,5.18518518518519
204,1.72413793103448,0.0,10.1449275362319,6.4516129032258105,11.5789473684211,13.5416666666667,11.8279569892473,2.98507462686567,5.88235294117647,9.63855421686747
205,0.0,2.77777777777778,6.730769230769231,9.45945945945946,10.526315789473701,7.9710144927536195,8.51063829787234,7.563025210084031,9.57446808510638,5.18518518518519
206,2.08333333333333,6.77966101694915,11.931818181818201,14.0909090909091,14.285714285714299,12.915129151291499,13.698630136986301,12.7182044887781,9.22330097087379,4.80225988700565
207,0.790513833992095,3.03030303030303,11.3924050632911,10.648148148148099,14.5454545454545,14.0562248995984,14.3911439114391,16.8539325842697,13.0890052356021,8.260869565217389
208,3.53535353535354,5.5045871559633,8.38323353293413,11.0526315789474,8.713692946058089,10.2678571428571,15.1624548736462,17.0403587443946,11.814345991561199,4.41176470588235
209,0.0,2.29885057471264,8.86075949367089,10.849056603773601,11.71875,14.1791044776119,9.82456140350877,12.2866894197952,8.527131782945741,4.9469964664311
201,1.38888888888889,2.0,7.69230769230769,9.23076923076923,12.8205128205128,13.2596685082873,11.518324607329799,12.3456790123457,8.71794871794872,3.7209302325581404
201,1.1235955056179798,4.0650406504065,9.41704035874439,11.336032388664,13.968253968253999,12.5786163522013,10.1910828025478,11.5537848605578,8.23045267489712,6.08974358974359
201,1.64835164835165,4.545454545454549,10.9947643979058,12.313432835820901,15.902140672782899,13.0681818181818,14.499999999999998,14.805194805194798,10.9677419354839,5.34521158129176
201,0.0,5.55555555555556,9.79020979020979,11.4173228346457,12.666666666666702,10.9375,17.232375979112298,14.3920595533499,10.3896103896104,6.9047619047619095
201,0.87719298245614,5.40540540540541,6.76691729323308,7.57575757575758,11.25,9.876543209876539,10.738255033557,10.2941176470588,6.730769230769231,2.23880597014925
201,0.0,6.25,5.35714285714286,6.94444444444444,10.526315789473701,6.75675675675676,7.2463768115942,6.66666666666667,13.7931034482759,8.06451612903226
201,4.08163265306122,0.0,11.2903225806452,11.864406779661001,18.9873417721519,8.695652173913041,4.28571428571429,1.9607843137254901,2.04081632653061,4.16666666666667
201,1.5384615384615399,2.94117647058824,2.08333333333333,5.55555555555556,14.6341463414634,16.9491525423729,5.063291139240509,13.725490196078399,8.0,2.12765957446809
